chr,chromStart,chromEnd,peak_length,strand,ModLog2FC_treated,ModLog2FC_control,DiffModLog2FC,pvalue,padj,Annotation,transcriptID,geneID,gene_chr,gene_start,gene_end,geneName,Description,GO,KEGG
NC_051358.1,5029265,5029378,114,+,2.08,0.52,1.57,0.03,0.13,UTR3,XM_012695963.3,733108,NC_051358.1,5023169,5029378,LOC733108,peptidyl-prolyl cis-trans isomerase-like 1 isoform X1 [Bombyx mandarina],GO:0003755(peptidyl-prolyl cis-trans isomerase activity),03040(Spliceosome)
NC_051358.1,5617596,5618143,548,+,1.84,1.46,0.38,0.03,0.15,UTR3,XM_004929744.4,101741973,NC_051358.1,5616632,5618143,LOC101741973,uncharacterized protein LOC101741973 [Bombyx mori],NA,NA
NC_051358.1,6132193,6132597,405,+,1.40,8.16,-6.77,0.01,0.06,exonic,NM_001098373.1,100049060,NC_051358.1,6093263,6147531,Titin2,titin2 [Bombyx mori],GO:0000794(condensed nuclear chromosome);GO:0003779(actin binding);GO:0005515(protein binding);GO:0005863(striated muscle myosin thick filament);GO:0007062(sister chromatid cohesion);GO:0007076(mitotic chromosome condensation);GO:0007498(mesoderm development);GO:0007517(muscle organ development);GO:0007519(skeletal muscle tissue development);GO:0007520(myoblast fusion);GO:0007522(visceral muscle development);GO:0007525(somatic muscle development);GO:0008307(structural constituent of muscle);GO:0016203(muscle attachment);GO:0030017(sarcomere);GO:0030018(Z disc);GO:0031674(I band);GO:0035206(regulation of hemocyte proliferation);GO:0040011(locomotion);GO:0045214(sarcomere organization),NA
NC_051358.1,6139699,6139999,301,+,6.79,0.36,6.43,0.00,0.03,exonic,NM_001098373.1,100049060,NC_051358.1,6093263,6147531,Titin2,titin2 [Bombyx mori],GO:0000794(condensed nuclear chromosome);GO:0003779(actin binding);GO:0005515(protein binding);GO:0005863(striated muscle myosin thick filament);GO:0007062(sister chromatid cohesion);GO:0007076(mitotic chromosome condensation);GO:0007498(mesoderm development);GO:0007517(muscle organ development);GO:0007519(skeletal muscle tissue development);GO:0007520(myoblast fusion);GO:0007522(visceral muscle development);GO:0007525(somatic muscle development);GO:0008307(structural constituent of muscle);GO:0016203(muscle attachment);GO:0030017(sarcomere);GO:0030018(Z disc);GO:0031674(I band);GO:0035206(regulation of hemocyte proliferation);GO:0040011(locomotion);GO:0045214(sarcomere organization),NA
NC_051358.1,6273326,6277726,4401,+,1.34,0.99,0.35,0.04,0.19,exonic,NM_001115003.1,100141465,NC_051358.1,6273327,6278001,Ubcd4,ubiquitin conjugating enzyme 4 [Bombyx mori],GO:0000209(protein polyubiquitination);GO:0004842(ubiquitin-protein transferase activity);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0031625(ubiquitin protein ligase binding);GO:0043161(proteasome-mediated ubiquitin-dependent protein catabolic process);GO:0051726(regulation of cell cycle);GO:0061630(ubiquitin protein ligase activity);GO:0070628(proteasome binding),04120(Ubiquitin mediated proteolysis)
NC_051358.1,6281440,6324213,42774,+,1.83,2.47,-0.64,0.00,0.00,UTR5,XM_004929749.4,101743037,NC_051358.1,6281441,6331279,LOC101743037,bestrophin-4 isoform X2 [Bombyx mori],GO:0005254(chloride channel activity);GO:0005887(integral component of plasma membrane);GO:0034707(chloride channel complex);GO:1902476(chloride transmembrane transport),NA
NC_051358.1,6331014,6331279,266,+,1.17,1.70,-0.53,0.05,0.20,UTR3,XM_004929749.4,101743037,NC_051358.1,6281441,6331279,LOC101743037,bestrophin-4 isoform X2 [Bombyx mori],GO:0005254(chloride channel activity);GO:0005887(integral component of plasma membrane);GO:0034707(chloride channel complex);GO:1902476(chloride transmembrane transport),NA
NC_051358.1,8020514,8026784,6271,+,2.79,2.60,0.19,0.03,0.13,UTR3,XM_004929769.3,101746062,NC_051358.1,8017426,8026880,LOC101746062,nucleobindin-2 isoform X2 [Bombyx mori],GO:0003824(catalytic activity);GO:0005615(extracellular space);GO:0005794(Golgi apparatus);GO:0005975(carbohydrate metabolic process);GO:0012505(endomembrane system);GO:0032504(multicellular organism reproduction);GO:0050829(defense response to Gram-negative bacterium),NA
NC_051358.1,8035603,8046914,11312,+,3.54,0.79,2.76,0.00,0.01,exonic,NM_001043382.1,692387,NC_051358.1,8035379,8055459,Idgf,chitinase-like protein EN03 precursor [Bombyx mori],GO:0003674(molecular_function);GO:0005575(cellular_component);GO:0008150(biological_process),NA
NC_051358.1,8853940,8855753,1814,+,1.75,-3.69,5.43,0.01,0.09,exonic,XM_004929792.3,101737363,NC_051358.1,8853666,8864796,LOC101737363,proton-coupled folate transporter isoform X3 [Bombyx mori],GO:0004016(adenylate cyclase activity);GO:0016021(integral component of membrane);GO:0055085(transmembrane transport),NA
NC_051358.1,9262346,9265522,3177,+,1.61,1.35,0.26,0.01,0.08,UTR3,NM_001046741.1,692898,NC_051358.1,9262222,9267176,LOC692898,rotamase Pin1 [Bombyx mori],GO:0003755(peptidyl-prolyl cis-trans isomerase activity);GO:0005634(nucleus);GO:0007173(epidermal growth factor receptor signaling pathway);GO:1904059(regulation of locomotor rhythm),NA
NC_051358.1,9318326,9318701,376,+,2.03,0.53,1.50,0.00,0.03,UTR3,XM_004929798.4,101738265,NC_051358.1,9305529,9319138,LOC101738265,glutamine synthetase 2 cytoplasmic isoform X4 [Bombyx mori],GO:0004356(glutamate-ammonia ligase activity);GO:0005737(cytoplasm);GO:0006538(glutamate catabolic process);GO:0006542(glutamine biosynthetic process);GO:0007416(synapse assembly);GO:0045213(neurotransmitter receptor metabolic process),"00220(Arginine biosynthesis);00250(Alanine, aspartate and glutamate metabolism);00630(Glyoxylate and dicarboxylate metabolism);00910(Nitrogen metabolism);01100(Metabolic pathways);01230(Biosynthesis of amino acids)"
NC_051358.1,9451451,9451593,143,+,1.31,0.45,0.86,0.00,0.02,UTR3,XM_004929805.3,101739139,NC_051358.1,9446912,9451593,LOC101739139,beta-parvin [Bombyx mori],GO:0003779(actin binding);GO:0005737(cytoplasm);GO:0005925(focal adhesion);GO:0007155(cell adhesion);GO:0007163(establishment or maintenance of cell polarity);GO:0007475(apposition of dorsal and ventral imaginal disc-derived wing surfaces);GO:0015629(actin cytoskeleton);GO:0016203(muscle attachment);GO:0030031(cell projection assembly);GO:0031532(actin cytoskeleton reorganization);GO:0034446(substrate adhesion-dependent cell spreading),NA
NC_051358.1,9776586,9777311,726,+,2.54,1.95,0.58,0.03,0.15,UTR3,XM_004929815.4,101740377,NC_051358.1,9765927,9778222,LOC101740377,ER degradation-enhancing alpha-mannosidase-like protein 3 [Bombyx mori],"GO:0004571(mannosyl-oligosaccharide 1,2-alpha-mannosidase activity);GO:0005783(endoplasmic reticulum);GO:0006491(N-glycan processing);GO:0030433(ubiquitin-dependent ERAD pathway);GO:0030968(endoplasmic reticulum unfolded protein response);GO:0097466(ubiquitin-dependent glycoprotein ERAD pathway)",04141(Protein processing in endoplasmic reticulum)
NC_051358.1,9913510,9913860,351,+,0.56,1.71,-1.16,0.02,0.10,UTR3,XM_004929822.3,101741311,NC_051358.1,9912511,9913897,LOC101741311,prefoldin subunit 1-like [Bombyx mori],GO:0005737(cytoplasm);GO:0006457(protein folding);GO:0007010(cytoskeleton organization);GO:0016272(prefoldin complex);GO:0051082(unfolded protein binding),NA
NC_051358.1,10219285,10220235,951,+,3.01,1.73,1.28,0.00,0.01,UTR3,XM_004929825.4,101741823,NC_051358.1,10137163,10223076,LOC101741823,uncharacterized protein LOC101741823 isoform X1 [Bombyx mori],GO:0007015(actin filament organization);GO:0007165(signal transduction);GO:0007444(imaginal disc development);GO:0008157(protein phosphatase 1 binding);GO:0008361(regulation of cell size);GO:0019904(protein domain specific binding);GO:0032433(filopodium tip);GO:0046331(lateral inhibition);GO:0048639(positive regulation of developmental growth);GO:0051781(positive regulation of cell division),NA
NC_051358.1,10355439,10355788,350,+,1.31,0.77,0.54,0.00,0.01,exonic,NM_001043447.1,692456,NC_051358.1,10353469,10355788,Cat,catalase-like [Bombyx mandarina],GO:0003007(heart morphogenesis);GO:0004096(catalase activity);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0005777(peroxisome);GO:0007568(aging);GO:0008340(determination of adult lifespan);GO:0016209(antioxidant activity);GO:0020037(heme binding);GO:0034976(response to endoplasmic reticulum stress);GO:0035206(regulation of hemocyte proliferation);GO:0036335(intestinal stem cell homeostasis);GO:0038001(paracrine signaling);GO:0042542(response to hydrogen peroxide);GO:0042744(hydrogen peroxide catabolic process);GO:0045471(response to ethanol);GO:0055114(oxidation-reduction process);GO:0072593(reactive oxygen species metabolic process),00380(Tryptophan metabolism);00630(Glyoxylate and dicarboxylate metabolism);01100(Metabolic pathways);01200(Carbon metabolism);04068(FoxO signaling pathway);04146(Peroxisome);04213(Longevity regulating pathway - multiple species)
NC_051358.1,11553722,11555282,1561,+,1.62,1.99,-0.37,0.03,0.14,UTR5,XM_012693531.3,101746997,NC_051358.1,11553573,11559537,LOC101746997,prostaglandin E synthase 2 [Bombyx mandarina],GO:0009055(electron transfer activity);GO:0015035(protein disulfide oxidoreductase activity);GO:0045454(cell redox homeostasis);GO:0050220(prostaglandin-E synthase activity),00590(Arachidonic acid metabolism);01100(Metabolic pathways)
NC_051358.1,11801906,11802206,301,+,2.11,0.53,1.58,0.02,0.11,UTR3,XM_012693610.3,101735755,NC_051358.1,11766492,11806404,LOC101735755,uncharacterized protein LOC101735755 isoform X1 [Bombyx mori],GO:0000209(protein polyubiquitination);GO:0005622(intracellular);GO:0008270(zinc ion binding);GO:0031624(ubiquitin conjugating enzyme binding);GO:0032436(positive regulation of proteasomal ubiquitin-dependent protein catabolic process);GO:0061630(ubiquitin protein ligase activity),NA
NC_051358.1,11811913,11812202,290,+,3.37,1.30,2.07,0.01,0.05,UTR3,XM_038013177.1,101735887,NC_051358.1,11808110,11812202,LOC101735887,probable palmitoyltransferase ZDHHC16 [Bombyx mori],GO:0005794(Golgi apparatus);GO:0016409(palmitoyltransferase activity);GO:0018345(protein palmitoylation),NA
NC_051358.1,11989814,12003112,13299,+,1.36,1.78,-0.42,0.01,0.08,UTR5,XM_038010621.1,101736677,NC_051358.1,11989715,12004047,LOC101736677,polypeptide N-acetylgalactosaminyltransferase 35A-like isoform X2 [Bombyx mandarina],GO:0004653(polypeptide N-acetylgalactosaminyltransferase activity);GO:0005112(Notch binding);GO:0005794(Golgi apparatus);GO:0005795(Golgi stack);GO:0007424(open tracheal system development);GO:0009312(oligosaccharide biosynthetic process);GO:0016020(membrane);GO:0016266(O-glycan processing);GO:0018242(protein O-linked glycosylation via serine);GO:0018243(protein O-linked glycosylation via threonine),00512(Mucin type O-glycan biosynthesis);00514(Other types of O-glycan biosynthesis);01100(Metabolic pathways)
NC_051358.1,12788461,12788686,226,+,2.74,0.70,2.04,0.00,0.02,UTR3,XM_004929878.4,101737506,NC_051358.1,12766127,12791053,LOC101737506,RING finger and SPRY domain-containing protein 1 isoform X2 [Bombyx mori],GO:0005576(extracellular region);GO:0008270(zinc ion binding),NA
NC_051358.1,12788736,12788836,101,+,2.46,0.89,1.57,0.03,0.14,UTR3,XM_004929878.4,101737506,NC_051358.1,12766127,12791053,LOC101737506,RING finger and SPRY domain-containing protein 1 isoform X2 [Bombyx mori],GO:0005576(extracellular region);GO:0008270(zinc ion binding),NA
NC_051358.1,12931703,12936833,5131,+,2.40,1.90,0.50,0.01,0.05,exonic,XM_021350394.2,101737920,NC_051358.1,12930920,12980521,LOC101737920,uncharacterized protein LOC101737920 [Bombyx mori],GO:0005215(transporter activity);GO:0005887(integral component of plasma membrane);GO:0006857(oligopeptide transport);GO:0015333(peptide:proton symporter activity);GO:0016020(membrane);GO:0016021(integral component of membrane),NA
NC_051358.1,13441754,13444079,2326,+,2.68,2.18,0.50,0.00,0.00,UTR3,XM_004927137.4,101737109,NC_051358.1,13418543,13445349,LOC101737109,"carnitine O-palmitoyltransferase 1, liver isoform isoform X1 [Bombyx mori]","GO:0006979(response to oxidative stress);GO:0010038(response to metal ion);GO:0012505(endomembrane system);GO:0016746(transferase activity, transferring acyl groups);GO:0042594(response to starvation);GO:0045471(response to ethanol)",00071(Fatty acid degradation);01212(Fatty acid metabolism)
NC_051358.1,13766957,13773410,6454,+,0.89,2.14,-1.24,0.02,0.10,exonic,NM_001309577.1,101739895,NC_051358.1,13766142,13793163,LOC101739895,uncharacterized protein LOC101739895 [Bombyx mori],NA,04144(Endocytosis)
NC_051358.1,14264381,14264652,272,+,0.90,1.25,-0.35,0.00,0.00,UTR3,XM_004933081.4,101743755,NC_051358.1,14245296,14264652,LOC101743755,D-3-phosphoglycerate dehydrogenase [Bombyx mori],GO:0004617(phosphoglycerate dehydrogenase activity);GO:0009070(serine family amino acid biosynthetic process),"00260(Glycine, serine and threonine metabolism);00270(Cysteine and methionine metabolism);01100(Metabolic pathways);01200(Carbon metabolism);01230(Biosynthesis of amino acids)"
NC_051358.1,14386865,14387015,151,+,2.58,-0.72,3.30,0.02,0.12,UTR3,XM_021352503.2,100145904,NC_051358.1,14296681,14389560,Snf4agamma,uncharacterized protein LOC114252679 [Bombyx mandarina],GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0006629(lipid metabolic process);GO:0006914(autophagy);GO:0009267(cellular response to starvation);GO:0010906(regulation of glucose metabolic process);GO:0019901(protein kinase binding);GO:0030730(sequestering of triglyceride);GO:0042595(behavioral response to starvation);GO:0042632(cholesterol homeostasis);GO:0045787(positive regulation of cell cycle);GO:0046983(protein dimerization activity),04068(FoxO signaling pathway);04213(Longevity regulating pathway - multiple species)
NC_051358.1,14387415,14387690,276,+,1.47,0.43,1.04,0.04,0.18,UTR3,XM_021352503.2,100145904,NC_051358.1,14296681,14389560,Snf4agamma,uncharacterized protein LOC114252679 [Bombyx mandarina],GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0006629(lipid metabolic process);GO:0006914(autophagy);GO:0009267(cellular response to starvation);GO:0010906(regulation of glucose metabolic process);GO:0019901(protein kinase binding);GO:0030730(sequestering of triglyceride);GO:0042595(behavioral response to starvation);GO:0042632(cholesterol homeostasis);GO:0045787(positive regulation of cell cycle);GO:0046983(protein dimerization activity),04068(FoxO signaling pathway);04213(Longevity regulating pathway - multiple species)
NC_051358.1,15200264,15200389,126,+,0.50,2.47,-1.97,0.01,0.05,UTR5,XM_004933089.4,101745353,NC_051358.1,15200240,15208071,LOC101745353,ubiquitin-conjugating enzyme E2 G2 [Bombyx mori],GO:0000209(protein polyubiquitination);GO:0005737(cytoplasm);GO:0006511(ubiquitin-dependent protein catabolic process);GO:0031625(ubiquitin protein ligase binding);GO:0061630(ubiquitin protein ligase activity),04120(Ubiquitin mediated proteolysis);04141(Protein processing in endoplasmic reticulum)
NC_051358.1,15477566,15477702,137,+,1.27,0.60,0.67,0.00,0.00,UTR3,XM_004933101.4,101746877,NC_051358.1,15467482,15477702,LOC101746877,ADP-ribosylation factor-like protein 5B [Bombyx mori],"GO:0003924(GTPase activity);GO:0005525(GTP binding);GO:0005802(trans-Golgi network);GO:0007264(small GTPase mediated signal transduction);GO:0042147(retrograde transport, endosome to Golgi);GO:1903292(protein localization to Golgi membrane)",NA
NC_051358.1,15870937,15873629,2693,+,1.90,2.25,-0.35,0.03,0.14,exonic,XM_038013588.1,101743001,NC_051358.1,15852560,15906289,LOC101743001,GRB10-interacting GYF protein 2 [Bombyx mori],GO:0010506(regulation of autophagy);GO:0046716(muscle cell cellular homeostasis);GO:0070050(neuron cellular homeostasis),NA
NC_051358.1,16460679,16461278,600,+,-3.78,1.65,-5.42,0.01,0.09,exonic,XM_038011328.1,101743860,NC_051358.1,16311813,16465497,LOC101743860,E3 ubiquitin-protein ligase MYCBP2 isoform X4 [Bombyx mandarina],GO:0004842(ubiquitin-protein transferase activity);GO:0005515(protein binding);GO:0005737(cytoplasm);GO:0007411(axon guidance);GO:0016198(axon choice point recognition);GO:0021986(habenula development);GO:0031290(retinal ganglion cell axon guidance);GO:0042068(regulation of pteridine metabolic process);GO:0046872(metal ion binding);GO:0048066(developmental pigmentation),NA
NC_051358.1,17547718,17548468,751,+,1.18,2.11,-0.93,0.00,0.02,UTR3,XM_004933132.4,101739053,NC_051358.1,17520653,17552174,LOC101739053,F-box/WD repeat-containing protein 7 isoform X1 [Bombyx mandarina],"GO:0004842(ubiquitin-protein transferase activity);GO:0005515(protein binding);GO:0007088(regulation of mitotic nuclear division);GO:0007096(regulation of exit from mitosis);GO:0007411(axon guidance);GO:0007419(ventral cord development);GO:0019005(SCF ubiquitin ligase complex);GO:0030162(regulation of proteolysis);GO:0030332(cyclin binding);GO:0031146(SCF-dependent proteasomal ubiquitin-dependent protein catabolic process);GO:0035147(branch fusion, open tracheal system);GO:0042023(DNA endoreduplication);GO:0045926(negative regulation of growth);GO:0060253(negative regulation of glial cell proliferation);GO:0060438(trachea development);GO:0071456(cellular response to hypoxia);GO:1900038(negative regulation of cellular response to hypoxia);GO:1903146(regulation of autophagy of mitochondrion);GO:1990381(ubiquitin-specific protease binding)",04120(Ubiquitin mediated proteolysis)
NC_051358.1,19417000,19417375,376,+,1.49,0.57,0.92,0.03,0.14,UTR3,XM_004924899.4,101746325,NC_051358.1,19402589,19420292,LOC101746325,Y+L amino acid transporter 2 [Bombyx mori],GO:0005887(integral component of plasma membrane);GO:0015179(L-amino acid transmembrane transporter activity);GO:0015297(antiporter activity),04150(mTOR signaling pathway)
NC_051358.1,19671562,19671662,101,+,2.47,-0.90,3.37,0.00,0.04,UTR3,XM_004924883.4,101743877,NC_051358.1,19597279,19678729,LOC101743877,nitrogen permease regulator 2-like protein isoform X2 [Bombyx mori],GO:0005515(protein binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0005773(vacuole);GO:0006995(cellular response to nitrogen starvation);GO:0007293(germarium-derived egg chamber formation);GO:0010508(positive regulation of autophagy);GO:0010898(positive regulation of triglyceride catabolic process);GO:0032007(negative regulation of TOR signaling);GO:0034198(cellular response to amino acid starvation);GO:0035859(Seh1-associated complex);GO:0038202(TORC1 signaling);GO:0044754(autolysosome);GO:0045792(negative regulation of cell size);GO:0048477(oogenesis);GO:0048813(dendrite morphogenesis);GO:1904262(negative regulation of TORC1 signaling);GO:1904766(negative regulation of macroautophagy by TORC1 signaling);GO:1990130(GATOR1 complex);GO:2000785(regulation of autophagosome assembly),NA
NC_051358.1,19671687,19671837,151,+,2.47,-0.62,3.08,0.01,0.07,UTR3,XM_004924883.4,101743877,NC_051358.1,19597279,19678729,LOC101743877,nitrogen permease regulator 2-like protein isoform X2 [Bombyx mori],GO:0005515(protein binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0005773(vacuole);GO:0006995(cellular response to nitrogen starvation);GO:0007293(germarium-derived egg chamber formation);GO:0010508(positive regulation of autophagy);GO:0010898(positive regulation of triglyceride catabolic process);GO:0032007(negative regulation of TOR signaling);GO:0034198(cellular response to amino acid starvation);GO:0035859(Seh1-associated complex);GO:0038202(TORC1 signaling);GO:0044754(autolysosome);GO:0045792(negative regulation of cell size);GO:0048477(oogenesis);GO:0048813(dendrite morphogenesis);GO:1904262(negative regulation of TORC1 signaling);GO:1904766(negative regulation of macroautophagy by TORC1 signaling);GO:1990130(GATOR1 complex);GO:2000785(regulation of autophagosome assembly),NA
NC_051358.1,19691300,19691475,176,+,1.57,1.18,0.39,0.03,0.14,ncRNA_exonic,XR_001139579.3,105841450,NC_051358.1,19689874,19692441,LOC105841450,NA,NA,NA
NC_051358.1,19807774,19809332,1559,+,0.61,1.65,-1.05,0.01,0.09,exonic,XM_004924882.4,101743586,NC_051358.1,19793064,19826313,LOC101743586,H(+)/Cl(-) exchange transporter 5 isoform X4 [Bombyx mori],GO:0003014(renal system process);GO:0005247(voltage-gated chloride channel activity);GO:0005254(chloride channel activity);GO:0005769(early endosome);GO:0005887(integral component of plasma membrane);GO:0015108(chloride transmembrane transporter activity);GO:0016020(membrane);GO:0048388(endosomal lumen acidification);GO:0055037(recycling endosome);GO:1902476(chloride transmembrane transport),NA
NC_051358.1,20194211,20195918,1708,+,1.73,3.58,-1.85,0.04,0.17,exonic,XM_038011978.1,101745607,NC_051358.1,20164206,20218308,LOC101745607,G-protein-signaling modulator 2 [Bombyx mori],GO:0000132(establishment of mitotic spindle orientation);GO:0005092(GDP-dissociation inhibitor activity);GO:0005515(protein binding);GO:0005938(cell cortex);GO:0007400(neuroblast fate determination);GO:0007405(neuroblast proliferation);GO:0008356(asymmetric cell division);GO:0019904(protein domain specific binding);GO:0040001(establishment of mitotic spindle localization);GO:0045167(asymmetric protein localization involved in cell fate determination);GO:0045175(basal protein localization);GO:0045177(apical part of cell);GO:0045179(apical cortex);GO:0045185(maintenance of protein location);GO:0051294(establishment of spindle orientation);GO:0055059(asymmetric neuroblast division),NA
NC_051358.1,20506022,20506147,126,+,1.31,0.81,0.50,0.04,0.17,UTR3,XM_004924873.4,101742096,NC_051358.1,20351916,20506440,LOC101742096,thyrotroph embryonic factor isoform X4 [Bombyx mandarina],"GO:0000278(mitotic cell cycle);GO:0000977(RNA polymerase II regulatory region sequence-specific DNA binding);GO:0003700(DNA binding transcription factor activity);GO:0005634(nucleus);GO:0007275(multicellular organism development);GO:0007584(response to nutrient);GO:0007623(circadian rhythm);GO:0019216(regulation of lipid metabolic process);GO:0040007(growth);GO:0042023(DNA endoreduplication);GO:0042803(protein homodimerization activity);GO:0043565(sequence-specific DNA binding);GO:0045893(positive regulation of transcription, DNA-templated)",04711(Circadian rhythm - fly)
NC_051358.1,77834,77984,151,-,1.99,0.88,1.12,0.01,0.08,UTR3,XM_012696031.3,101739479,NC_051358.1,77835,118946,LOC101739479,tyrosine-protein kinase Abl isoform X3 [Bombyx mori],GO:0004715(non-membrane spanning protein tyrosine kinase activity);GO:0005102(receptor binding);GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway);GO:0030154(cell differentiation);GO:0031234(extrinsic component of cytoplasmic side of plasma membrane);GO:0038083(peptidyl-tyrosine autophosphorylation);GO:0042127(regulation of cell proliferation);GO:0045087(innate immune response),NA
NC_051358.1,80584,86861,6278,-,0.24,1.55,-1.31,0.05,0.19,exonic,XM_012696031.3,101739479,NC_051358.1,77835,118946,LOC101739479,tyrosine-protein kinase Abl isoform X3 [Bombyx mori],GO:0004715(non-membrane spanning protein tyrosine kinase activity);GO:0005102(receptor binding);GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway);GO:0030154(cell differentiation);GO:0031234(extrinsic component of cytoplasmic side of plasma membrane);GO:0038083(peptidyl-tyrosine autophosphorylation);GO:0042127(regulation of cell proliferation);GO:0045087(innate immune response),NA
NC_051358.1,126116,126391,276,-,-0.64,1.41,-2.05,0.00,0.02,UTR3,XM_004932721.4,101741407,NC_051358.1,125492,142097,LOC101741407,alpha-tubulin N-acetyltransferase isoform X1 [Bombyx mori],GO:0019799(tubulin N-acetyltransferase activity);GO:0070507(regulation of microtubule cytoskeleton organization);GO:0071929(alpha-tubulin acetylation),NA
NC_051358.1,596393,596818,426,-,1.61,0.85,0.76,0.01,0.05,ncRNA_exonic,XR_005244792.1,119628632,NC_051358.1,594119,604601,LOC119628632,NA,NA,NA
